STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,NHWA_MALE,NHWA_FEMALE
Missouri,Franklin County,1,0,101492,48265,49199
Missouri,Franklin County,1,1,6524,3087,2935
Missouri,Franklin County,1,2,6921,3370,3148
Missouri,Franklin County,1,3,7246,3571,3293
Missouri,Franklin County,1,4,7066,3448,3240
Missouri,Franklin County,1,5,5781,2764,2718
Missouri,Franklin County,1,6,6130,2949,2912
Missouri,Franklin County,1,7,5698,2786,2692
Missouri,Franklin County,1,8,6147,2933,2981
Missouri,Franklin County,1,9,7011,3344,3425
Missouri,Franklin County,1,10,8400,4083,4044
Missouri,Franklin County,1,11,8253,4003,4022
Missouri,Franklin County,1,12,6649,3245,3235
Missouri,Franklin County,1,13,5666,2687,2847
Missouri,Franklin County,1,14,4404,2074,2222
Missouri,Franklin County,1,15,3385,1498,1806
Missouri,Franklin County,1,16,2634,1189,1394
Missouri,Franklin County,1,17,1871,708,1131
Missouri,Franklin County,1,18,1706,526,1154
Missouri,Franklin County,2,0,101491,48265,49198
Missouri,Franklin County,2,1,6524,3087,2935
Missouri,Franklin County,2,2,6921,3370,3148
Missouri,Franklin County,2,3,7246,3571,3293
Missouri,Franklin County,2,4,7066,3448,3240
Missouri,Franklin County,2,5,5781,2764,2718
Missouri,Franklin County,2,6,6130,2949,2912
Missouri,Franklin County,2,7,5698,2786,2692
Missouri,Franklin County,2,8,6147,2933,2981
Missouri,Franklin County,2,9,7011,3344,3425
Missouri,Franklin County,2,10,8400,4083,4044
Missouri,Franklin County,2,11,8253,4003,4022
Missouri,Franklin County,2,12,6650,3246,3235
Missouri,Franklin County,2,13,5666,2687,2847
Missouri,Franklin County,2,14,4402,2073,2221
Missouri,Franklin County,2,15,3385,1498,1806
Missouri,Franklin County,2,16,2634,1189,1394
Missouri,Franklin County,2,17,1871,708,1131
Missouri,Franklin County,2,18,1706,526,1154
Missouri,Franklin County,3,0,101537,48266,49235
Missouri,Franklin County,3,1,6534,3099,2939
Missouri,Franklin County,3,2,6897,3349,3135
Missouri,Franklin County,3,3,7209,3556,3274
Missouri,Franklin County,3,4,6988,3400,3204
Missouri,Franklin County,3,5,5827,2790,2739
Missouri,Franklin County,3,6,6117,2937,2909
Missouri,Franklin County,3,7,5758,2806,2731
Missouri,Franklin County,3,8,6075,2906,2944
Missouri,Franklin County,3,9,6972,3326,3402
Missouri,Franklin County,3,10,8332,4040,4016
Missouri,Franklin County,3,11,8288,4033,4028
Missouri,Franklin County,3,12,6740,3278,3292
Missouri,Franklin County,3,13,5720,2709,2878
Missouri,Franklin County,3,14,4428,2088,2232
Missouri,Franklin County,3,15,3414,1514,1818
Missouri,Franklin County,3,16,2645,1190,1403
Missouri,Franklin County,3,17,1887,719,1137
Missouri,Franklin County,3,18,1706,526,1154
Missouri,Franklin County,4,0,101648,48245,49222
Missouri,Franklin County,4,1,6499,3114,2883
Missouri,Franklin County,4,2,6792,3254,3088
Missouri,Franklin County,4,3,7165,3510,3270
Missouri,Franklin County,4,4,6769,3329,3054
Missouri,Franklin County,4,5,6024,2877,2837
Missouri,Franklin County,4,6,6128,2929,2908
Missouri,Franklin County,4,7,5942,2854,2842
Missouri,Franklin County,4,8,5788,2782,2808
Missouri,Franklin County,4,9,6850,3271,3329
Missouri,Franklin County,4,10,7976,3838,3853
Missouri,Franklin County,4,11,8489,4169,4081
Missouri,Franklin County,4,12,7038,3382,3470
Missouri,Franklin County,4,13,5972,2818,3021
Missouri,Franklin County,4,14,4472,2123,2236
Missouri,Franklin County,4,15,3474,1555,1835
Missouri,Franklin County,4,16,2645,1167,1416
Missouri,Franklin County,4,17,1939,752,1152
Missouri,Franklin County,4,18,1686,521,1139
Missouri,Franklin County,5,0,101386,48110,48906
Missouri,Franklin County,5,1,6403,3066,2791
Missouri,Franklin County,5,2,6701,3204,2998
Missouri,Franklin County,5,3,7061,3423,3237
Missouri,Franklin County,5,4,6499,3214,2922
Missouri,Franklin County,5,5,6143,2922,2881
Missouri,Franklin County,5,6,6045,2918,2832
Missouri,Franklin County,5,7,6029,2891,2866
Missouri,Franklin County,5,8,5607,2693,2710
Missouri,Franklin County,5,9,6610,3184,3193
Missouri,Franklin County,5,10,7660,3672,3689
Missouri,Franklin County,5,11,8540,4188,4108
Missouri,Franklin County,5,12,7332,3531,3604
Missouri,Franklin County,5,13,5944,2790,3011
Missouri,Franklin County,5,14,4785,2257,2418
Missouri,Franklin County,5,15,3595,1642,1864
Missouri,Franklin County,5,16,2697,1179,1452
Missouri,Franklin County,5,17,1986,790,1155
Missouri,Franklin County,5,18,1749,546,1175
Missouri,Franklin County,6,0,101757,48164,49009
Missouri,Franklin County,6,1,6376,3016,2778
Missouri,Franklin County,6,2,6654,3182,2938
Missouri,Franklin County,6,3,7014,3378,3206
Missouri,Franklin County,6,4,6507,3212,2926
Missouri,Franklin County,6,5,6246,2986,2926
Missouri,Franklin County,6,6,6065,2895,2867
Missouri,Franklin County,6,7,6110,2948,2884
Missouri,Franklin County,6,8,5468,2622,2628
Missouri,Franklin County,6,9,6450,3068,3133
Missouri,Franklin County,6,10,7385,3540,3548
Missouri,Franklin County,6,11,8424,4094,4065
Missouri,Franklin County,6,12,7584,3643,3738
Missouri,Franklin County,6,13,6123,2914,3052
Missouri,Franklin County,6,14,4981,2336,2521
Missouri,Franklin County,6,15,3780,1713,1966
Missouri,Franklin County,6,16,2787,1241,1480
Missouri,Franklin County,6,17,1994,817,1137
Missouri,Franklin County,6,18,1809,559,1216
Missouri,Franklin County,7,0,102084,48240,49089
Missouri,Franklin County,7,1,6319,2984,2754
Missouri,Franklin County,7,2,6647,3146,2937
Missouri,Franklin County,7,3,6944,3328,3166
Missouri,Franklin County,7,4,6372,3154,2873
Missouri,Franklin County,7,5,6257,2946,2932
Missouri,Franklin County,7,6,6102,2944,2839
Missouri,Franklin County,7,7,6195,2991,2920
Missouri,Franklin County,7,8,5460,2631,2602
Missouri,Franklin County,7,9,6277,2976,3052
Missouri,Franklin County,7,10,7137,3401,3436
Missouri,Franklin County,7,11,8352,4037,4040
Missouri,Franklin County,7,12,7838,3777,3841
Missouri,Franklin County,7,13,6242,3001,3086
Missouri,Franklin County,7,14,5215,2419,2657
Missouri,Franklin County,7,15,3970,1825,2039
Missouri,Franklin County,7,16,2847,1241,1530
Missouri,Franklin County,7,17,2011,823,1137
Missouri,Franklin County,7,18,1899,616,1248
Missouri,Jefferson County,1,0,218733,103843,105052
Missouri,Jefferson County,1,1,14971,7125,6724
Missouri,Jefferson County,1,2,15086,7228,6773
Missouri,Jefferson County,1,3,15450,7410,7064
Missouri,Jefferson County,1,4,15192,7407,6882
Missouri,Jefferson County,1,5,12457,6044,5802
Missouri,Jefferson County,1,6,14017,6615,6744
Missouri,Jefferson County,1,7,14384,6914,6821
Missouri,Jefferson County,1,8,14755,6954,7083
Missouri,Jefferson County,1,9,15414,7319,7469
Missouri,Jefferson County,1,10,18515,8894,8998
Missouri,Jefferson County,1,11,17497,8525,8379
Missouri,Jefferson County,1,12,14664,7000,7263
Missouri,Jefferson County,1,13,11937,5726,5899
Missouri,Jefferson County,1,14,8816,4123,4475
Missouri,Jefferson County,1,15,6011,2751,3110
Missouri,Jefferson County,1,16,4351,1886,2357
Missouri,Jefferson County,1,17,2879,1159,1672
Missouri,Jefferson County,1,18,2337,763,1537
Missouri,Jefferson County,2,0,218728,103842,105048
Missouri,Jefferson County,2,1,14971,7125,6724
Missouri,Jefferson County,2,2,15084,7228,6771
Missouri,Jefferson County,2,3,15449,7410,7063
Missouri,Jefferson County,2,4,15192,7407,6882
Missouri,Jefferson County,2,5,12457,6044,5802
Missouri,Jefferson County,2,6,14016,6615,6743
Missouri,Jefferson County,2,7,14383,6913,6821
Missouri,Jefferson County,2,8,14755,6954,7083
Missouri,Jefferson County,2,9,15414,7319,7469
Missouri,Jefferson County,2,10,18515,8894,8998
Missouri,Jefferson County,2,11,17497,8525,8379
Missouri,Jefferson County,2,12,14664,7000,7263
Missouri,Jefferson County,2,13,11937,5726,5899
Missouri,Jefferson County,2,14,8816,4123,4475
Missouri,Jefferson County,2,15,6011,2751,3110
Missouri,Jefferson County,2,16,4351,1886,2357
Missouri,Jefferson County,2,17,2879,1159,1672
Missouri,Jefferson County,2,18,2337,763,1537
Missouri,Jefferson County,3,0,219083,103977,105192
Missouri,Jefferson County,3,1,14906,7080,6698
Missouri,Jefferson County,3,2,15099,7243,6759
Missouri,Jefferson County,3,3,15489,7407,7099
Missouri,Jefferson County,3,4,15013,7328,6759
Missouri,Jefferson County,3,5,12597,6102,5884
Missouri,Jefferson County,3,6,14048,6637,6742
Missouri,Jefferson County,3,7,14449,6931,6869
Missouri,Jefferson County,3,8,14617,6905,6996
Missouri,Jefferson County,3,9,15424,7321,7476
Missouri,Jefferson County,3,10,18374,8818,8937
Missouri,Jefferson County,3,11,17608,8571,8450
Missouri,Jefferson County,3,12,14802,7085,7308
Missouri,Jefferson County,3,13,12076,5785,5968
Missouri,Jefferson County,3,14,8868,4140,4508
Missouri,Jefferson County,3,15,6077,2791,3140
Missouri,Jefferson County,3,16,4364,1887,2364
Missouri,Jefferson County,3,17,2921,1180,1689
Missouri,Jefferson County,3,18,2351,766,1546
Missouri,Jefferson County,4,0,219644,104068,105411
Missouri,Jefferson County,4,1,14608,6975,6527
Missouri,Jefferson County,4,2,15099,7238,6719
Missouri,Jefferson County,4,3,15437,7298,7157
Missouri,Jefferson County,4,4,14377,7028,6417
Missouri,Jefferson County,4,5,12967,6213,6102
Missouri,Jefferson County,4,6,13880,6593,6565
Missouri,Jefferson County,4,7,14668,6969,7043
Missouri,Jefferson County,4,8,14080,6697,6661
Missouri,Jefferson County,4,9,15495,7338,7512
Missouri,Jefferson County,4,10,17535,8369,8535
Missouri,Jefferson County,4,11,18122,8810,8728
Missouri,Jefferson County,4,12,15203,7314,7447
Missouri,Jefferson County,4,13,12682,6047,6300
Missouri,Jefferson County,4,14,9131,4246,4647
Missouri,Jefferson County,4,15,6427,2965,3313
Missouri,Jefferson County,4,16,4448,1923,2400
Missouri,Jefferson County,4,17,3030,1237,1733
Missouri,Jefferson County,4,18,2455,808,1605
Missouri,Jefferson County,5,0,220102,103896,105669
Missouri,Jefferson County,5,1,14233,6724,6361
Missouri,Jefferson County,5,2,15069,7210,6681
Missouri,Jefferson County,5,3,15375,7274,7072
Missouri,Jefferson County,5,4,14006,6769,6293
Missouri,Jefferson County,5,5,13253,6342,6227
Missouri,Jefferson County,5,6,13596,6443,6423
Missouri,Jefferson County,5,7,14821,6992,7111
Missouri,Jefferson County,5,8,13896,6634,6547
Missouri,Jefferson County,5,9,15382,7261,7454
Missouri,Jefferson County,5,10,16685,7959,8090
Missouri,Jefferson County,5,11,18289,8866,8829
Missouri,Jefferson County,5,12,15746,7552,7715
Missouri,Jefferson County,5,13,12653,5990,6321
Missouri,Jefferson County,5,14,9934,4626,5039
Missouri,Jefferson County,5,15,6914,3132,3625
Missouri,Jefferson County,5,16,4593,2020,2430
Missouri,Jefferson County,5,17,3105,1255,1791
Missouri,Jefferson County,5,18,2552,847,1660
Missouri,Jefferson County,6,0,221245,104185,106055
Missouri,Jefferson County,6,1,14076,6631,6240
Missouri,Jefferson County,6,2,15227,7203,6759
Missouri,Jefferson County,6,3,15232,7226,6943
Missouri,Jefferson County,6,4,13848,6663,6229
Missouri,Jefferson County,6,5,13316,6347,6216
Missouri,Jefferson County,6,6,13512,6395,6374
Missouri,Jefferson County,6,7,15011,7107,7150
Missouri,Jefferson County,6,8,14046,6687,6637
Missouri,Jefferson County,6,9,15158,7156,7298
Missouri,Jefferson County,6,10,15973,7544,7799
Missouri,Jefferson County,6,11,18369,8903,8829
Missouri,Jefferson County,6,12,16213,7731,7979
Missouri,Jefferson County,6,13,13018,6185,6470
Missouri,Jefferson County,6,14,10235,4762,5198
Missouri,Jefferson County,6,15,7446,3382,3897
Missouri,Jefferson County,6,16,4718,2080,2497
Missouri,Jefferson County,6,17,3173,1289,1805
Missouri,Jefferson County,6,18,2674,894,1735
Missouri,Jefferson County,7,0,222716,104630,106543
Missouri,Jefferson County,7,1,13926,6550,6161
Missouri,Jefferson County,7,2,15184,7129,6740
Missouri,Jefferson County,7,3,15170,7163,6861
Missouri,Jefferson County,7,4,13846,6629,6246
Missouri,Jefferson County,7,5,13161,6231,6110
Missouri,Jefferson County,7,6,13662,6473,6418
Missouri,Jefferson County,7,7,15019,7048,7167
Missouri,Jefferson County,7,8,14444,6908,6768
Missouri,Jefferson County,7,9,14790,6954,7110
Missouri,Jefferson County,7,10,15373,7253,7481
Missouri,Jefferson County,7,11,18226,8793,8799
Missouri,Jefferson County,7,12,16714,8053,8083
Missouri,Jefferson County,7,13,13527,6372,6763
Missouri,Jefferson County,7,14,10844,5058,5497
Missouri,Jefferson County,7,15,7811,3543,4086
Missouri,Jefferson County,7,16,4993,2193,2658
Missouri,Jefferson County,7,17,3226,1327,1804
Missouri,Jefferson County,7,18,2800,953,1791
Missouri,Lincoln County,1,0,52566,24589,24805
Missouri,Lincoln County,1,1,4054,1932,1746
Missouri,Lincoln County,1,2,4021,1877,1769
Missouri,Lincoln County,1,3,4153,1927,1889
Missouri,Lincoln County,1,4,3894,1822,1727
Missouri,Lincoln County,1,5,2885,1316,1365
Missouri,Lincoln County,1,6,3361,1521,1635
Missouri,Lincoln County,1,7,3559,1653,1702
Missouri,Lincoln County,1,8,3330,1546,1578
Missouri,Lincoln County,1,9,3640,1755,1703
Missouri,Lincoln County,1,10,4308,2054,2082
Missouri,Lincoln County,1,11,3997,1954,1880
Missouri,Lincoln County,1,12,3171,1527,1510
Missouri,Lincoln County,1,13,2478,1163,1243
Missouri,Lincoln County,1,14,1981,942,955
Missouri,Lincoln County,1,15,1372,649,684
Missouri,Lincoln County,1,16,1050,458,555
Missouri,Lincoln County,1,17,704,305,381
Missouri,Lincoln County,1,18,608,188,401
Missouri,Lincoln County,2,0,52565,24588,24805
Missouri,Lincoln County,2,1,4054,1932,1746
Missouri,Lincoln County,2,2,4021,1877,1769
Missouri,Lincoln County,2,3,4153,1927,1889
Missouri,Lincoln County,2,4,3894,1822,1727
Missouri,Lincoln County,2,5,2885,1316,1365
Missouri,Lincoln County,2,6,3361,1521,1635
Missouri,Lincoln County,2,7,3559,1653,1702
Missouri,Lincoln County,2,8,3330,1546,1578
Missouri,Lincoln County,2,9,3640,1755,1703
Missouri,Lincoln County,2,10,4308,2054,2082
Missouri,Lincoln County,2,11,3996,1953,1880
Missouri,Lincoln County,2,12,3171,1527,1510
Missouri,Lincoln County,2,13,2478,1163,1243
Missouri,Lincoln County,2,14,1981,942,955
Missouri,Lincoln County,2,15,1372,649,684
Missouri,Lincoln County,2,16,1050,458,555
Missouri,Lincoln County,2,17,704,305,381
Missouri,Lincoln County,2,18,608,188,401
Missouri,Lincoln County,3,0,52708,24649,24861
Missouri,Lincoln County,3,1,4039,1917,1744
Missouri,Lincoln County,3,2,4029,1885,1769
Missouri,Lincoln County,3,3,4136,1922,1872
Missouri,Lincoln County,3,4,3884,1824,1724
Missouri,Lincoln County,3,5,2917,1333,1373
Missouri,Lincoln County,3,6,3371,1514,1647
Missouri,Lincoln County,3,7,3575,1665,1706
Missouri,Lincoln County,3,8,3312,1544,1563
Missouri,Lincoln County,3,9,3650,1747,1716
Missouri,Lincoln County,3,10,4290,2047,2067
Missouri,Lincoln County,3,11,4016,1961,1895
Missouri,Lincoln County,3,12,3232,1562,1533
Missouri,Lincoln County,3,13,2509,1171,1264
Missouri,Lincoln County,3,14,1984,943,956
Missouri,Lincoln County,3,15,1393,656,695
Missouri,Lincoln County,3,16,1053,463,553
Missouri,Lincoln County,3,17,707,308,380
Missouri,Lincoln County,3,18,611,187,404
Missouri,Lincoln County,4,0,53107,24886,24990
Missouri,Lincoln County,4,1,3891,1861,1684
Missouri,Lincoln County,4,2,4072,1938,1754
Missouri,Lincoln County,4,3,4170,1932,1876
Missouri,Lincoln County,4,4,3813,1810,1680
Missouri,Lincoln County,4,5,2989,1340,1434
Missouri,Lincoln County,4,6,3314,1452,1633
Missouri,Lincoln County,4,7,3671,1743,1734
Missouri,Lincoln County,4,8,3193,1490,1491
Missouri,Lincoln County,4,9,3681,1741,1759
Missouri,Lincoln County,4,10,4149,1966,2004
Missouri,Lincoln County,4,11,4137,2014,1956
Missouri,Lincoln County,4,12,3449,1687,1611
Missouri,Lincoln County,4,13,2663,1256,1323
Missouri,Lincoln County,4,14,1997,938,974
Missouri,Lincoln County,4,15,1473,709,718
Missouri,Lincoln County,4,16,1079,486,558
Missouri,Lincoln County,4,17,746,324,397
Missouri,Lincoln County,4,18,620,199,404
Missouri,Lincoln County,5,0,53348,25007,24981
Missouri,Lincoln County,5,1,3776,1814,1621
Missouri,Lincoln County,5,2,4055,1937,1695
Missouri,Lincoln County,5,3,4135,1937,1825
Missouri,Lincoln County,5,4,3734,1750,1663
Missouri,Lincoln County,5,5,3116,1414,1460
Missouri,Lincoln County,5,6,3299,1423,1642
Missouri,Lincoln County,5,7,3698,1761,1735
Missouri,Lincoln County,5,8,3251,1536,1503
Missouri,Lincoln County,5,9,3567,1674,1695
Missouri,Lincoln County,5,10,3965,1862,1911
Missouri,Lincoln County,5,11,4193,2053,1993
Missouri,Lincoln County,5,12,3655,1759,1723
Missouri,Lincoln County,5,13,2721,1306,1328
Missouri,Lincoln County,5,14,2138,982,1073
Missouri,Lincoln County,5,15,1565,762,751
Missouri,Lincoln County,5,16,1076,493,547
Missouri,Lincoln County,5,17,769,331,412
Missouri,Lincoln County,5,18,635,213,404
Missouri,Lincoln County,6,0,53878,25152,25234
Missouri,Lincoln County,6,1,3721,1774,1588
Missouri,Lincoln County,6,2,4076,1936,1737
Missouri,Lincoln County,6,3,4087,1901,1800
Missouri,Lincoln County,6,4,3754,1744,1678
Missouri,Lincoln County,6,5,3221,1464,1494
Missouri,Lincoln County,6,6,3328,1453,1616
Missouri,Lincoln County,6,7,3670,1715,1748
Missouri,Lincoln County,6,8,3315,1537,1552
Missouri,Lincoln County,6,9,3523,1659,1661
Missouri,Lincoln County,6,10,3857,1821,1834
Missouri,Lincoln County,6,11,4203,2049,2017
Missouri,Lincoln County,6,12,3794,1823,1787
Missouri,Lincoln County,6,13,2862,1346,1414
Missouri,Lincoln County,6,14,2190,1027,1088
Missouri,Lincoln County,6,15,1699,822,811
Missouri,Lincoln County,6,16,1092,508,546
Missouri,Lincoln County,6,17,813,334,450
Missouri,Lincoln County,6,18,673,239,413
Missouri,Lincoln County,7,0,54249,25379,25312
Missouri,Lincoln County,7,1,3662,1752,1563
Missouri,Lincoln County,7,2,4029,1918,1718
Missouri,Lincoln County,7,3,4132,1936,1783
Missouri,Lincoln County,7,4,3761,1744,1693
Missouri,Lincoln County,7,5,3262,1539,1461
Missouri,Lincoln County,7,6,3344,1457,1613
Missouri,Lincoln County,7,7,3590,1660,1721
Missouri,Lincoln County,7,8,3457,1592,1642
Missouri,Lincoln County,7,9,3400,1607,1584
Missouri,Lincoln County,7,10,3756,1794,1758
Missouri,Lincoln County,7,11,4250,2047,2052
Missouri,Lincoln County,7,12,3849,1845,1825
Missouri,Lincoln County,7,13,3023,1435,1461
Missouri,Lincoln County,7,14,2279,1062,1148
Missouri,Lincoln County,7,15,1770,858,831
Missouri,Lincoln County,7,16,1150,531,582
Missouri,Lincoln County,7,17,853,353,464
Missouri,Lincoln County,7,18,682,249,413
Missouri,St. Charles County,1,0,360485,157536,163939
Missouri,St. Charles County,1,1,24297,10244,9792
Missouri,St. Charles County,1,2,26202,11170,10875
Missouri,St. Charles County,1,3,26625,11676,11276
